WONUM,DESCRIPTION,ABCWUA_ADDRESS,PERSONGROUP,ABCWUA_SERVAREA,LOCATION,ASSETNUM,ABCWUA_CALLNUM,ABCWUA_CALLNUM2,WORKTYPE,ABCWUA_SUBWT,ORIGRECORDID,STATUS,STATUSDATE,WOPRIORITY,REPORTDATE,ACTFINISH,ABCWUA_EQNUM,WOEQ1,MAXGISID,MAP_PAGE,PIPE_DIAMETER,PIPE_LENGTH,PIPE_MATERIAL,ABCWUA_MANHOLE_FRM,ABCWUA_MANHOLE_TO,FAILURECODE,PROBLEMCODE,CAUSE,REMEDY,ABCWUA_10CODE,ABCWUA_SPILLAGE,VENDOR,ESTLABHRS,ACTLABHRS,PARENT,RPTDATE_CALPERIOD,RPTDATE_DAYOFWEEK,RPTDATE_HROFDAY,RPTDATE_WEEKOFYEAR,WO_AGING_DAYS,AGING_PERIOD,AGING_PERIOD_COMP
11397429,10-40 inside Apt #A Tri-Plex TOT 250,117 Chama St NE apt. A.,RECCL,AS,RPIPE,280785,211,250,CM,,58229,CLOSE,7/2/13 2:01,4,2/25/13 8:54,2/25/13 23:00,,,RPIPE272060,K-19,8,328.6,CP,K19511,K19413,PIPE,PROPDAM,GREASE,CC,10-48,,,0,5.5,,201302,MONDAY   ,8,8,127,GT 90 DAYS,GT 90 DAYS
11397932,10-40 Back-up To Street TOT 258 - AS,1201 San Pedro Drive SE,RECCL,AS,RPIPE,281992,258,250,CM,,57736,CLOSE,5/29/13 2:03,4,2/26/13 6:27,2/11/13 8:30,,,RPIPE273267,L-18,8,329,CP,L18842,L18945,PIPE,BACKUP,GREASE,CC,10-40,,,0,1,,201302,TUESDAY  ,6,9,92,GT 90 DAYS,GT 90 DAYS
11397980,10-40/tot 250-AS,3119 QUINCY ST NE,RECCL,AS,RPIPE,266769,255,250,CM,,58260,CLOSE,7/26/13 2:02,5,2/26/13 7:19,2/25/13 12:10,,,RPIPE258044,G-17,8,399.23001099,PVC,G17885,G17982,PIPE,BACKUP,GRSSDGRV,CC,10-40,,,0,1.3333333333,,201302,TUESDAY  ,7,9,150,GT 90 DAYS,GT 90 DAYS
11398149,10-40/tot 250/255,8222 CONNECTICUT ST NE,RECCL,AS,RPIPE,277366,255,250,CM,,58252,CLOSE,7/26/13 2:02,5,2/26/13 14:53,2/25/13 13:00,,,RPIPE268641,G-19,8,330,CP,G19684,G19782,PIPE,BACKUP,RTSGRS,CC,10-40,,,0,1.6666666667,,201302,TUESDAY  ,14,9,149,GT 90 DAYS,GT 90 DAYS
11398411,10-40 SEWER TROUBLE TOT 260/263 AS,2937 SANTA MONICA AVE SE,RECCL,AS,RPIPE,282341,263,260,CM,,58308,CLOSE,7/26/13 2:01,4,2/27/13 6:02,2/26/13 13:00,,,RPIPE273616,L-16,8,318,CP,L16161,L16151,PIPE,BACKUP,GREASE,CC,10-40,,,0,3,,201302,WEDNESDAY,6,9,149,GT 90 DAYS,GT 90 DAYS
11399270,10-40 TOT 250-252 as,6903 COCHITI RD SE,RECCL,AS,RPIPE,279985,252,250,CM,,58382,CLOSE,7/26/13 2:01,5,2/28/13 15:13,2/28/13 11:30,,,RPIPE271260,K-18,8,338,CP,K18881,K18781,PIPE,BACKUP,GREASE,CC,10-40,,,0,5,,201302,THURSDAY ,15,9,147,GT 90 DAYS,GT 90 DAYS
11400093,10-40 tot 211-212// AS,813 CITY VIEW DR SW,RECCL,AS,RPIPE,299060,212,211,CM,,58462,CLOSE,12/16/13 2:00,4,3/1/13 22:52,3/1/13 19:50,,,RPIPE290335,K-11,8,247,PVC,K11973,K11964,PIPE,BACKUP,RGSGRS,CC,10-40,,,0,4,,201303,FRIDAY   ,22,9,289,GT 90 DAYS,GT 90 DAYS
11418766,10-42 tot 260,115 CANYON VIEW PL NE,RECCL,AS,RPIPE,315257,251,260,CM,,58496,CLOSE,7/3/13 2:00,5,3/2/13 13:35,3/2/13 13:30,,,RPIPE306532,K-22,8,331,VCP,K22973,K22972,PIPE,PROPDAM,RAGS,CC,10-48,,,0,1,,201303,SATURDAY ,13,9,123,GT 90 DAYS,GT 90 DAYS
11400241,10-42 tot 260,109 CANYON VIEW PL NE,RECCL,AS,RPIPE,315257,251,260,CM,,58483,CLOSE,7/2/13 2:00,5,3/2/13 15:10,3/2/13 13:30,,,RPIPE306532,K-22,8,331,VCP,K22973,K22972,PIPE,OVERFLOW,RAGS,CC,10-42,101-500 GAL,,0,1,,201303,SATURDAY ,15,9,121,GT 90 DAYS,GT 90 DAYS
11400243,10-40 Back-up TOT 260 - AS,5105 De Leon Court NE,RECCL,AS,RPIPE,277105,251,260,CM,,58476,CLOSE,6/7/13 2:00,5,3/2/13 15:17,3/2/13 12:30,,,RPIPE268380,F-18,8,95,VCP,F18243,F18150,PIPE,BACKUP,RAGS,CC,10-40,,,0,1.4333333333,,201303,SATURDAY ,15,9,96,GT 90 DAYS,GT 90 DAYS
